index,per1,per2,per3,per4,per5
113501,1.0,1.0,1.0,1.0,0
113502,1.0,1.0,1.0,0.67,0
113503,0.67,1.0,0.33,0.67,0
113504,1.0,1.0,1.0,1.0,0
113505,1.0,1.0,1.0,1.0,0
113506,1.0,1.0,1.0,1.0,0
113507,1.0,1.0,1.0,1.0,0
113508,1.0,1.0,1.0,1.0,0
113509,1.0,1.0,1.0,1.0,0
113510,1.0,1.0,1.0,1.0,0
113511,1.0,1.0,1.0,1.0,0
113512,1.0,1.0,1.0,1.0,0
113513,1.0,1.0,1.0,1.0,0
113514,1.0,1.0,1.0,1.0,0
113515,1.0,1.0,1.0,1.0,0
113516,0.5,1.0,0.5,1.0,0
113517,1.0,1.0,1.0,1.0,0
113518,1.0,1.0,1.0,1.0,0
113519,1.0,1.0,1.0,1.0,0
113520,1.0,1.0,1.0,1.0,0
113521,1.0,1.0,1.0,1.0,0
113522,1.0,1.0,1.0,1.0,0
113523,1.0,1.0,0.67,1.0,0
113524,1.0,1.0,1.0,1.0,0
113525,1.0,1.0,1.0,1.0,0
113526,1.0,1.0,1.0,1.0,0
113527,1.0,1.0,1.0,1.0,0
113528,1.0,1.0,1.0,1.0,0
113529,1.0,1.0,1.0,1.0,0
113530,1.0,1.0,1.0,1.0,0
113531,1.0,1.0,1.0,1.0,0
113532,1.0,1.0,1.0,1.0,0
113533,1.0,1.0,1.0,1.0,0
113534,1.0,1.0,1.0,1.0,0
113535,0.33,0.33,0.67,0.67,0
113536,1.0,1.0,1.0,1.0,0
113537,1.0,1.0,1.0,1.0,0
113538,1.0,1.0,1.0,1.0,0
113539,0.67,0.33,0.33,0.33,0
113540,1.0,1.0,1.0,0.5,0
113541,1.0,1.0,1.0,1.0,0
113542,1.0,1.0,1.0,1.0,0
113543,1.0,1.0,1.0,1.0,0
113544,1.0,1.0,1.0,0.75,0
113545,0.5,1.0,0.5,0.5,0
113546,1.0,1.0,1.0,1.0,0
113547,1.0,1.0,1.0,1.0,0
113548,1.0,1.0,1.0,1.0,0
113549,1.0,1.0,1.0,1.0,0
113550,1.0,1.0,1.0,1.0,0
113551,1.0,1.0,1.0,1.0,0
113552,0.5,0.5,0.5,1.0,0
113553,1.0,1.0,1.0,1.0,0
113554,1.0,1.0,1.0,1.0,0
113555,1.0,1.0,1.0,1.0,0
113556,1.0,1.0,1.0,1.0,0
113557,1.0,1.0,1.0,1.0,0
113558,1.0,1.0,1.0,1.0,0
113559,1.0,1.0,1.0,1.0,0
113560,1.0,1.0,1.0,1.0,0
113561,1.0,1.0,1.0,1.0,0
113562,1.0,1.0,1.0,1.0,0
113563,1.0,1.0,1.0,1.0,0
113564,1.0,1.0,1.0,1.0,0
113565,1.0,1.0,1.0,1.0,0
113566,1.0,1.0,1.0,1.0,0
113567,1.0,1.0,1.0,1.0,0
113568,1.0,1.0,1.0,1.0,0
113569,1.0,0.5,1.0,1.0,0
113570,1.0,1.0,1.0,1.0,0
113571,1.0,1.0,1.0,1.0,0
113572,0.67,0.67,0.67,0.67,0
113573,1.0,1.0,1.0,1.0,0
113574,1.0,1.0,1.0,1.0,0
113575,1.0,1.0,1.0,1.0,0
113576,1.0,1.0,1.0,1.0,0
113577,1.0,1.0,1.0,1.0,0
113578,1.0,1.0,1.0,1.0,0
113579,1.0,1.0,1.0,1.0,0
113580,1.0,0.5,1.0,1.0,0
113581,1.0,0.5,0.75,0.5,0
113582,1.0,1.0,0.5,1.0,0
113583,0.75,0.75,1.0,0.75,0
113584,1.0,1.0,1.0,1.0,0
113585,1.0,1.0,1.0,1.0,0
113586,1.0,0.67,0.67,1.0,0
113587,1.0,1.0,1.0,1.0,0
113588,1.0,0.5,1.0,1.0,0
113589,1.0,1.0,1.0,1.0,0
113590,1.0,1.0,1.0,1.0,0
113591,1.0,1.0,1.0,1.0,0
113592,1.0,1.0,1.0,1.0,0
113593,1.0,1.0,1.0,1.0,0
113594,1.0,1.0,1.0,1.0,0
113595,1.0,1.0,1.0,1.0,0
113596,1.0,1.0,1.0,1.0,0
113597,1.0,1.0,1.0,1.0,0
113598,1.0,1.0,1.0,1.0,0
113599,0.5,1.0,1.0,1.0,0
113600,1.0,1.0,1.0,1.0,0
113601,1.0,1.0,1.0,1.0,0
113602,1.0,1.0,1.0,1.0,0
113603,1.0,1.0,1.0,1.0,0
113604,1.0,1.0,1.0,1.0,0
113605,1.0,1.0,1.0,1.0,0
113606,1.0,0.5,0.5,0.5,0
113607,1.0,1.0,1.0,1.0,0
113608,0.5,1.0,1.0,1.0,0
113609,1.0,1.0,0.5,1.0,0
113610,1.0,1.0,1.0,1.0,0
113611,1.0,1.0,1.0,1.0,0
113612,0.5,0.5,1.0,1.0,0
113613,1.0,0.5,1.0,1.0,0
113614,1.0,1.0,1.0,1.0,0
113615,1.0,1.0,1.0,1.0,0
113616,0.5,1.0,0.5,1.0,0
113617,1.0,1.0,1.0,0.5,0
113618,0.5,1.0,0.5,0.5,0
113619,1.0,1.0,1.0,1.0,0
113620,1.0,1.0,1.0,1.0,0
113621,0.5,1.0,1.0,1.0,0
113622,1.0,1.0,1.0,1.0,0
113623,1.0,1.0,1.0,1.0,0
113624,1.0,1.0,1.0,1.0,0
113625,1.0,1.0,1.0,1.0,0
113626,1.0,1.0,1.0,1.0,0
113627,1.0,1.0,1.0,1.0,0
113628,1.0,1.0,1.0,1.0,0
113629,1.0,1.0,1.0,1.0,0
113630,1.0,0.8,1.0,0.8,0
113631,1.0,1.0,1.0,1.0,0
113632,1.0,1.0,0.5,1.0,0
113633,1.0,1.0,1.0,1.0,0
113634,1.0,1.0,1.0,1.0,0
113635,1.0,1.0,1.0,1.0,0
113636,1.0,1.0,1.0,1.0,0
113637,1.0,1.0,1.0,1.0,0
113638,1.0,1.0,1.0,1.0,0
113639,1.0,1.0,1.0,1.0,0
113640,1.0,1.0,1.0,1.0,0
113641,1.0,1.0,1.0,1.0,0
113642,1.0,1.0,1.0,1.0,0
113643,1.0,1.0,1.0,1.0,0
113644,1.0,1.0,1.0,1.0,0
113645,1.0,1.0,1.0,1.0,0
113646,1.0,1.0,1.0,1.0,0
113647,1.0,1.0,1.0,1.0,0
113648,1.0,1.0,1.0,1.0,0
113649,1.0,1.0,1.0,1.0,0
113650,1.0,1.0,1.0,1.0,0
113651,1.0,1.0,1.0,1.0,0
113652,1.0,1.0,1.0,1.0,0
113653,1.0,1.0,1.0,1.0,0
113654,1.0,1.0,1.0,1.0,0
113655,1.0,1.0,1.0,1.0,0
113656,1.0,1.0,1.0,1.0,0
113657,1.0,1.0,1.0,1.0,0
113658,1.0,1.0,1.0,1.0,0
113659,1.0,1.0,1.0,1.0,0
113660,1.0,1.0,1.0,1.0,0
113661,1.0,1.0,1.0,1.0,0
113662,1.0,1.0,0.5,0.75,0
113663,1.0,1.0,1.0,1.0,0
113664,1.0,1.0,1.0,1.0,0
113665,1.0,1.0,1.0,1.0,0
113666,1.0,1.0,1.0,1.0,0
113667,1.0,1.0,1.0,1.0,0
113668,1.0,1.0,1.0,0.5,0
113669,1.0,1.0,1.0,1.0,0
113670,1.0,1.0,1.0,1.0,0
113671,1.0,1.0,1.0,1.0,0
113672,1.0,1.0,1.0,1.0,0
113673,1.0,1.0,1.0,1.0,0
113674,1.0,1.0,1.0,1.0,0
113675,1.0,1.0,1.0,1.0,0
113676,1.0,1.0,1.0,1.0,0
113677,1.0,1.0,1.0,1.0,0
113678,1.0,1.0,0.67,0.67,0
113679,1.0,1.0,1.0,1.0,0
113680,1.0,1.0,1.0,1.0,0
113681,1.0,1.0,1.0,1.0,0
113682,1.0,1.0,1.0,1.0,0
113683,1.0,1.0,1.0,1.0,0
113684,1.0,1.0,1.0,1.0,0
113685,1.0,1.0,1.0,1.0,0
113686,1.0,1.0,1.0,1.0,0
113687,1.0,0.5,0.75,1.0,0
113688,1.0,1.0,1.0,1.0,0
113689,1.0,1.0,1.0,1.0,0
113690,1.0,1.0,1.0,1.0,0
113691,1.0,1.0,1.0,1.0,0
113692,1.0,1.0,1.0,1.0,0
113693,1.0,1.0,1.0,1.0,0
113694,1.0,1.0,1.0,1.0,0
113695,1.0,1.0,1.0,1.0,0
113696,1.0,1.0,1.0,1.0,0
113697,1.0,1.0,1.0,1.0,0
113698,1.0,1.0,1.0,1.0,0
113699,1.0,1.0,1.0,1.0,0
113700,1.0,1.0,1.0,1.0,0
113701,1.0,1.0,1.0,1.0,0
113702,1.0,1.0,1.0,1.0,0
113703,1.0,1.0,1.0,1.0,0
113704,1.0,1.0,1.0,1.0,0
113705,1.0,1.0,1.0,1.0,0
113706,1.0,1.0,1.0,1.0,0
113707,1.0,1.0,1.0,1.0,0
113708,1.0,1.0,1.0,1.0,0
113709,1.0,1.0,1.0,1.0,0
113710,1.0,1.0,1.0,1.0,0
113711,1.0,1.0,1.0,1.0,0
113712,1.0,1.0,1.0,1.0,0
113713,1.0,1.0,1.0,1.0,0
113714,1.0,1.0,1.0,1.0,0
113715,1.0,1.0,1.0,1.0,0
113716,1.0,1.0,1.0,1.0,0
113717,0.67,1.0,1.0,1.0,0
113718,1.0,1.0,1.0,1.0,0
113719,1.0,1.0,1.0,1.0,0
113720,1.0,1.0,1.0,1.0,0
113721,1.0,1.0,1.0,1.0,0
113722,1.0,1.0,1.0,1.0,0
113723,1.0,1.0,1.0,1.0,0
113724,1.0,1.0,1.0,1.0,0
113725,1.0,1.0,1.0,1.0,0
113726,1.0,1.0,1.0,1.0,0
113727,1.0,1.0,1.0,1.0,0
113728,1.0,1.0,1.0,1.0,0
113729,1.0,1.0,1.0,1.0,0
113730,1.0,1.0,1.0,1.0,0
113731,1.0,1.0,1.0,1.0,0
113732,1.0,1.0,1.0,1.0,0
113733,1.0,1.0,1.0,1.0,0
113734,1.0,1.0,1.0,1.0,0
113735,1.0,1.0,1.0,1.0,0
113736,1.0,1.0,1.0,1.0,0
113737,1.0,1.0,1.0,1.0,0
113738,1.0,1.0,1.0,1.0,0
113739,1.0,1.0,1.0,1.0,0
113740,1.0,1.0,1.0,1.0,0
113741,1.0,1.0,1.0,1.0,0
113742,1.0,1.0,1.0,1.0,0
113743,1.0,1.0,1.0,1.0,0
113744,1.0,1.0,1.0,1.0,0
113745,1.0,1.0,1.0,1.0,0
113746,1.0,1.0,1.0,1.0,0
113747,0.33,0.67,1.0,0.67,0
113748,1.0,1.0,1.0,1.0,0
113749,1.0,1.0,1.0,1.0,0
113750,1.0,1.0,1.0,1.0,0
113751,1.0,1.0,1.0,1.0,0
113752,1.0,1.0,1.0,1.0,0
113753,1.0,1.0,1.0,1.0,0
113754,1.0,1.0,1.0,1.0,0
113755,1.0,1.0,1.0,1.0,0
113756,1.0,1.0,1.0,1.0,0
113757,1.0,1.0,1.0,1.0,0
113758,1.0,1.0,1.0,1.0,0
113759,1.0,1.0,1.0,1.0,0
113760,1.0,1.0,1.0,1.0,0
113761,1.0,1.0,1.0,1.0,0
113762,1.0,1.0,1.0,1.0,0
113763,1.0,1.0,1.0,1.0,0
113764,1.0,1.0,1.0,1.0,0
113765,1.0,1.0,1.0,1.0,0
113766,1.0,1.0,1.0,1.0,0
113767,1.0,1.0,1.0,1.0,0
113768,1.0,1.0,1.0,1.0,0
113769,1.0,1.0,1.0,1.0,0
113770,1.0,1.0,1.0,1.0,0
113771,1.0,1.0,1.0,1.0,0
113772,1.0,1.0,1.0,1.0,0
113773,1.0,1.0,1.0,1.0,0
113774,1.0,1.0,1.0,1.0,0
113775,1.0,1.0,1.0,1.0,0
113776,1.0,1.0,1.0,1.0,0
113777,1.0,1.0,1.0,1.0,0
113778,1.0,1.0,1.0,1.0,0
113779,1.0,1.0,1.0,1.0,0
113780,1.0,1.0,1.0,1.0,0
113781,1.0,1.0,1.0,1.0,0
113782,1.0,1.0,1.0,1.0,0
113783,1.0,1.0,1.0,1.0,0
113784,1.0,1.0,1.0,1.0,0
113785,1.0,1.0,1.0,1.0,0
113786,1.0,1.0,1.0,1.0,0
113787,1.0,1.0,1.0,1.0,0
113788,1.0,1.0,1.0,1.0,0
113789,1.0,1.0,1.0,1.0,0
113790,1.0,1.0,1.0,1.0,0
113791,1.0,1.0,1.0,1.0,0
113792,1.0,1.0,1.0,1.0,0
113793,1.0,1.0,1.0,1.0,0
113794,1.0,1.0,1.0,1.0,0
113795,1.0,1.0,1.0,1.0,0
113796,1.0,1.0,1.0,1.0,0
113797,1.0,1.0,1.0,1.0,0
113798,1.0,1.0,1.0,1.0,0
113799,1.0,1.0,1.0,1.0,0
113800,1.0,1.0,1.0,1.0,0
113801,1.0,1.0,1.0,1.0,0
113802,0.75,1.0,1.0,1.0,0
113803,1.0,1.0,1.0,1.0,0
113804,1.0,1.0,1.0,1.0,0
113805,1.0,1.0,1.0,1.0,0
113806,1.0,1.0,1.0,1.0,0
113807,1.0,1.0,1.0,1.0,0
113808,1.0,1.0,1.0,1.0,0
113809,1.0,1.0,1.0,1.0,0
113810,1.0,1.0,1.0,1.0,0
113811,1.0,1.0,1.0,1.0,0
113812,1.0,1.0,1.0,1.0,0
113813,1.0,1.0,1.0,1.0,0
113814,1.0,1.0,1.0,1.0,0
113815,1.0,1.0,1.0,1.0,0
113816,0.67,0.33,0.67,0.33,0
113817,1.0,1.0,1.0,1.0,0
113818,1.0,1.0,1.0,1.0,0
113819,1.0,1.0,1.0,1.0,0
113820,1.0,1.0,1.0,1.0,0
113821,1.0,1.0,1.0,1.0,0
113822,1.0,1.0,1.0,1.0,0
113823,1.0,1.0,1.0,1.0,0
113824,1.0,1.0,1.0,1.0,0
113825,1.0,1.0,1.0,1.0,0
113826,1.0,1.0,1.0,1.0,0
113827,1.0,1.0,1.0,1.0,0
113828,1.0,1.0,1.0,1.0,0
113829,1.0,1.0,1.0,1.0,0
113830,1.0,1.0,1.0,1.0,0
113831,1.0,1.0,1.0,1.0,0
113832,1.0,1.0,1.0,1.0,0
113833,1.0,1.0,1.0,1.0,0
113834,1.0,1.0,1.0,1.0,0
113835,1.0,1.0,1.0,1.0,0
113836,1.0,1.0,1.0,1.0,0
113837,1.0,1.0,1.0,1.0,0
113838,1.0,1.0,1.0,1.0,0
113839,1.0,1.0,1.0,1.0,0
113840,1.0,1.0,1.0,1.0,0
113841,1.0,1.0,1.0,1.0,0
113842,1.0,1.0,1.0,1.0,0
113843,1.0,1.0,1.0,1.0,0
113844,1.0,1.0,1.0,1.0,0
113845,1.0,1.0,1.0,1.0,0
113846,1.0,1.0,1.0,1.0,0
113847,1.0,1.0,1.0,1.0,0
113848,1.0,1.0,1.0,1.0,0
113849,1.0,1.0,1.0,1.0,0
113850,1.0,1.0,1.0,1.0,0
113851,1.0,1.0,1.0,1.0,0
113852,1.0,1.0,1.0,1.0,0
113853,1.0,1.0,1.0,1.0,0
113854,1.0,1.0,1.0,1.0,0
113855,1.0,1.0,1.0,1.0,0
113856,1.0,1.0,1.0,1.0,0
113857,1.0,1.0,1.0,1.0,0
113858,1.0,1.0,1.0,1.0,0
113859,1.0,1.0,1.0,1.0,0
113860,1.0,1.0,1.0,1.0,0
113861,1.0,1.0,1.0,1.0,0
113862,1.0,1.0,1.0,1.0,0
113863,1.0,1.0,1.0,1.0,0
113864,1.0,1.0,1.0,1.0,0
113865,1.0,1.0,1.0,1.0,0
113866,1.0,1.0,1.0,1.0,0
113867,1.0,1.0,0.33,0.67,0
113868,1.0,1.0,1.0,1.0,0
113869,1.0,1.0,1.0,1.0,0
113870,1.0,1.0,1.0,1.0,0
113871,1.0,1.0,1.0,1.0,0
113872,1.0,1.0,1.0,1.0,0
113873,1.0,1.0,1.0,1.0,0
113874,1.0,1.0,1.0,1.0,0
113875,1.0,1.0,1.0,1.0,0
113876,1.0,1.0,1.0,1.0,0
113877,1.0,1.0,1.0,1.0,0
113878,1.0,1.0,1.0,1.0,0
113879,1.0,1.0,1.0,1.0,0
113880,1.0,1.0,1.0,1.0,0
113881,1.0,1.0,1.0,1.0,0
113882,1.0,1.0,1.0,1.0,0
113883,1.0,1.0,1.0,1.0,0
113884,1.0,1.0,1.0,1.0,0
113885,1.0,1.0,1.0,1.0,0
113886,1.0,1.0,1.0,1.0,0
113887,1.0,1.0,1.0,1.0,0
113888,0.75,1.0,0.75,1.0,0
113889,1.0,1.0,1.0,1.0,0
113890,1.0,1.0,1.0,1.0,0
113891,1.0,1.0,1.0,1.0,0
113892,1.0,1.0,1.0,1.0,0
113893,1.0,1.0,1.0,1.0,0
113894,1.0,1.0,1.0,1.0,0
113895,1.0,1.0,1.0,1.0,0
113896,1.0,1.0,1.0,1.0,0
113897,1.0,1.0,1.0,1.0,0
113898,1.0,1.0,1.0,1.0,0
113899,1.0,1.0,1.0,1.0,0
113900,1.0,1.0,1.0,1.0,0
113901,1.0,1.0,1.0,1.0,0
113902,1.0,1.0,1.0,1.0,0
113903,1.0,1.0,1.0,1.0,0
113904,1.0,1.0,1.0,1.0,0
113905,1.0,1.0,1.0,1.0,0
113906,1.0,1.0,1.0,1.0,0
113907,1.0,1.0,1.0,1.0,0
113908,1.0,1.0,1.0,1.0,0
113909,1.0,1.0,1.0,1.0,0
113910,0.5,1.0,1.0,1.0,0
113911,1.0,1.0,1.0,1.0,0
113912,1.0,1.0,1.0,1.0,0
113913,1.0,1.0,1.0,1.0,0
113914,1.0,1.0,1.0,1.0,0
113915,1.0,1.0,1.0,1.0,0
113916,1.0,1.0,1.0,1.0,0
113917,1.0,1.0,1.0,1.0,0
113918,1.0,1.0,1.0,1.0,0
113919,1.0,1.0,1.0,1.0,0
113920,1.0,1.0,1.0,1.0,0
113921,1.0,1.0,1.0,1.0,0
113922,1.0,1.0,1.0,1.0,0
113923,1.0,1.0,1.0,1.0,0
113924,1.0,1.0,1.0,1.0,0
113925,1.0,1.0,1.0,1.0,0
113926,1.0,1.0,1.0,1.0,0
113927,1.0,1.0,1.0,1.0,0
113928,1.0,1.0,1.0,1.0,0
113929,1.0,1.0,1.0,1.0,0
113930,1.0,1.0,1.0,1.0,0
113931,1.0,0.5,0.5,0.5,0
113932,1.0,1.0,1.0,1.0,0
113933,1.0,1.0,1.0,1.0,0
113934,1.0,1.0,1.0,1.0,0
113935,1.0,1.0,1.0,1.0,0
113936,1.0,1.0,1.0,1.0,0
113937,1.0,1.0,1.0,1.0,0
113938,1.0,1.0,1.0,1.0,0
113939,1.0,1.0,1.0,1.0,0
113940,1.0,1.0,1.0,1.0,0
113941,1.0,1.0,1.0,1.0,0
113942,1.0,1.0,1.0,1.0,0
113943,1.0,1.0,1.0,1.0,0
113944,1.0,1.0,1.0,1.0,0
113945,1.0,1.0,1.0,1.0,0
113946,1.0,1.0,1.0,1.0,0
113947,1.0,1.0,1.0,1.0,0
113948,1.0,1.0,1.0,1.0,0
113949,1.0,1.0,1.0,1.0,0
113950,1.0,1.0,1.0,1.0,0
113951,1.0,1.0,1.0,1.0,0
113952,1.0,1.0,1.0,1.0,0
113953,1.0,1.0,1.0,1.0,0
113954,1.0,1.0,1.0,1.0,0
113955,1.0,1.0,1.0,1.0,0
113956,1.0,1.0,1.0,1.0,0
113957,1.0,1.0,1.0,1.0,0
113958,1.0,1.0,1.0,1.0,0
113959,1.0,1.0,1.0,1.0,0
113960,1.0,1.0,1.0,1.0,0
113961,1.0,1.0,1.0,1.0,0
113962,1.0,1.0,1.0,1.0,0
113963,1.0,1.0,1.0,1.0,0
113964,1.0,1.0,1.0,1.0,0
113965,1.0,1.0,1.0,1.0,0
113966,1.0,1.0,1.0,1.0,0
113967,1.0,1.0,1.0,1.0,0
113968,1.0,1.0,1.0,1.0,0
113969,1.0,1.0,1.0,1.0,0
113970,1.0,1.0,1.0,1.0,0
113971,1.0,1.0,1.0,1.0,0
113972,1.0,1.0,1.0,1.0,0
113973,1.0,1.0,1.0,1.0,0
113974,1.0,1.0,1.0,1.0,0
113975,1.0,1.0,1.0,1.0,0
113976,1.0,1.0,1.0,1.0,0
113977,1.0,1.0,1.0,1.0,0
113978,1.0,1.0,1.0,1.0,0
113979,1.0,1.0,1.0,1.0,0
113980,1.0,1.0,1.0,1.0,0
113981,1.0,1.0,1.0,1.0,0
113982,1.0,1.0,1.0,1.0,0
113983,1.0,1.0,1.0,1.0,0
113984,1.0,1.0,1.0,1.0,0
113985,1.0,1.0,1.0,1.0,0
113986,1.0,1.0,1.0,1.0,0
113987,1.0,1.0,1.0,1.0,0
113988,1.0,1.0,1.0,1.0,0
113989,1.0,1.0,1.0,1.0,0
113990,1.0,1.0,1.0,1.0,0
113991,1.0,1.0,1.0,1.0,0
113992,1.0,1.0,1.0,1.0,0
113993,1.0,1.0,1.0,1.0,0
113994,1.0,1.0,1.0,1.0,0
113995,1.0,1.0,1.0,1.0,0
113996,1.0,1.0,1.0,1.0,0
113997,1.0,1.0,1.0,1.0,0
113998,1.0,1.0,1.0,1.0,0
113999,1.0,1.0,1.0,1.0,0
114000,1.0,1.0,1.0,1.0,0
114001,1.0,1.0,1.0,1.0,0
114002,1.0,1.0,1.0,1.0,0
114003,1.0,1.0,1.0,1.0,0
114004,1.0,1.0,1.0,1.0,0
114005,1.0,1.0,1.0,1.0,0
114006,1.0,1.0,1.0,1.0,0
114007,1.0,1.0,1.0,1.0,0
114008,1.0,0.67,1.0,1.0,0
114009,1.0,1.0,1.0,1.0,0
114010,1.0,1.0,1.0,1.0,0
114011,1.0,1.0,1.0,1.0,0
114012,1.0,1.0,1.0,1.0,0
114013,1.0,1.0,1.0,1.0,0
114014,1.0,1.0,1.0,1.0,0
114015,1.0,1.0,1.0,1.0,0
114016,1.0,1.0,1.0,1.0,0
114017,1.0,1.0,1.0,1.0,0
114018,1.0,1.0,1.0,1.0,0
114019,1.0,1.0,1.0,1.0,0
114020,1.0,1.0,1.0,1.0,0
114021,1.0,1.0,1.0,1.0,0
114022,1.0,1.0,1.0,1.0,0
114023,1.0,1.0,1.0,1.0,0
114024,1.0,1.0,1.0,1.0,0
114025,1.0,1.0,1.0,1.0,0
114026,1.0,1.0,1.0,1.0,0
114027,1.0,1.0,1.0,1.0,0
114028,1.0,1.0,1.0,1.0,0
114029,1.0,1.0,1.0,1.0,0
114030,1.0,1.0,1.0,1.0,0
114031,1.0,1.0,1.0,1.0,0
114032,1.0,1.0,1.0,1.0,0
114033,1.0,1.0,1.0,1.0,0
